Curso;Módulo atual;Faltas Consecutivas;Idade;Sexo;Bairro;Cidade;Pend. Acad.;Possui Pendência Financeira;Bolsista;Antecipou Parcela;Situação (código)
Curso Técnico em Administração;0;0;22;1;Boa Vista;Vitória da Conquista;0;0;0;0;2
Curso Técnico em Administração;0;0;24;0;Alto Maron;Vitória da Conquista;0;0;0;0;2
Curso Técnico em Administração;0;0;29;1;Jurema;Vitória da Conquista;0;0;0;0;2
Curso Técnico em Administração;0;0;24;1;Cruzeiro;Vitória da Conquista;0;0;0;0;0
Curso Técnico em Administração;0;0;39;0;Espírito Santo;Vitória da Conquista;0;1;0;0;7
Curso Técnico em Administração;0;0;29;0;Centro;Vitória da Conquista;0;0;0;0;2
Curso Técnico em Administração;0;0;28;1;Brasil;Vitória da Conquista;0;0;0;0;2
Curso Técnico em Administração;0;0;23;1;Centro;Vitória da Conquista;0;1;0;0;7
Curso Técnico em Administração;3;0;31;1;Recreio;Vitória da Conquista;1;0;0;0;8
Curso Técnico em Administração;0;0;23;1;Zona Rural;Vitória da Conquista;0;0;0;0;2
Curso Técnico em Administração;0;0;24;1;Candeias;Vitória da Conquista;0;0;0;0;2
Curso Técnico em Administração;0;0;30;0;Boa Vista;Vitória da Conquista;0;0;0;0;2
Curso Técnico em Administração;0;0;32;1;Bateias;Vitória da Conquista;0;1;0;0;7
Curso Técnico em Administração;0;0;25;1;Centro;Belo Campo;0;0;0;0;2
Curso Técnico em Administração;0;0;42;1;Felícia;Vitória da Conquista;0;0;0;0;2
Curso Técnico em Administração;0;0;27;1;Espirito Santo;Vitória da Conquista;0;0;0;0;2
Curso Técnico em Administração;3;0;38;1;Centro;Barra do Choça;1;0;0;0;6
Curso Técnico em Administração;0;0;30;0;Brasil;Vitória da Conquista;0;0;0;0;2
Curso Técnico em Administração;0;0;34;1;Zona Rural;Itapetinga;0;0;0;0;2
Curso Técnico em Administração;0;0;38;1;Espírito Santo;Vitória da Conquista;0;0;0;0;2
Curso Técnico em Administração;0;0;39;1;Alto Maron;Vitória da Conquista;0;0;0;0;5
